corename,Sum of 0<.L.<=1.000000,Sum of 1.0000000<.L.<=2.0000000,Sum of 2.0000000<.L.<=3.0000000,Sum of 3.0000000<.L.<=4.0000000,Sum of .L.>4.0000000,Sum of .L.>0.0000000
C1216,889.1,141.6,9.1,0.5,0,1040.3
C2609,2993.9,318.2,75,26.3,12.3,3425.7
C2803,462.8,138.6,129.2,14.2,0,744.8
C5608,2014.3,707.6,207.8,19.5,0.7,2949.9
S1510,1329.9,423.7,67.7,8.9,2.3,1832.5
S1919,4650.3,961.8,212.7,16.1,0.8,5841.7
S2307,1233.1,236,8.9,0.2,0,1478.2
S2403,2091.2,660.3,167.9,15.1,1.3,2935.8
S3117,582.4,532.4,152.9,9.4,0,1277.1
S3603,811.5,328.5,125.8,2,0,1267.8
