soil_core,total_images,Root Length Diameter Range 1 (px),Root Length Diameter Range 2 (px),Root Length Diameter Range 3 (px),Root Length Diameter Range 4 (px),Root Length Diameter Range 5 (px)
C1216,3,0.0,3.0,0.0,0.0,0.0
C2003,10,0.0,10.414213562373096,0.0,0.0,0.0
C2609,5,0.0,5.414213562373095,0.0,0.0,0.0
C2803,3,0.0,4.0,0.0,0.0,0.0
C5608,13,0.0,15.242640687119287,0.0,0.0,0.0
C6405,34,0.0,45.89949493661167,0.0,0.0,0.0
S1510,11,0.0,12.82842712474619,0.0,0.0,0.0
S1919,18,0.0,19.65685424949238,0.0,0.0,0.0
S2307,19,0.0,21.65685424949238,0.0,0.0,0.0
S2403,8,0.0,8.0,0.0,0.0,0.0
S3117,21,0.0,22.242640687119287,0.0,0.0,0.0
S3603,7,0.0,7.414213562373095,0.0,0.0,0.0
